path                                               | HEAD         | behind    | dirty  
---------------------------------------------------+--------------+-----------+--------
PMOVES-A2UI                                        | 2bac549      | 8         | n      
PMOVES-Agent-Zero                                  | 2e000aa      | 3         | n      
PMOVES-AgentGym                                    | f724cfc      | 3         | n      
PMOVES-AgentGym/agentenv-lmrlgym/lmrlgym           | 83abeed      | 3         | n      
PMOVES-Archon                                      | 166afac      | 0         | n      
PMOVES-Archon/external/PMOVES-Agent-Zero           | d8eb467      | 394       | n      
PMOVES-Archon/external/PMOVES-BoTZ                 | 8a7c9f7      | 50        | n      
PMOVES-Archon/external/PMOVES-BoTZ/PMOVES-awesome- | 1a3c607      | 0         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/cipher | 873abb1      | 2         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | b0cbd3d      | 12        | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | 18f0383      | 0         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | fea9455      | 8         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | e198c87      | 0         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | 7c07230      | 0         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | 9a685c9      | 96        | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | 08dae85      | 10        | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | bb7e920      | 0         | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | fb7be77      | 57        | n      
PMOVES-Archon/external/PMOVES-BoTZ/features/skills | 3fa16a9      | 0         | n      
PMOVES-Archon/external/PMOVES-BoTZ/tools/claude-co | f4792c4      | 0         | n      
PMOVES-Archon/external/PMOVES-Deep-Serch           | e2af6b6      | 0         | n      
PMOVES-Archon/external/PMOVES-HiRAG                | e904b12      | 0         | n      
PMOVES-Archon/pmoves_multi_agent_pro_pack/PMOVES-B | 2565022      | 2         | n      
PMOVES-Archon/pmoves_multi_agent_pro_pack/PMOVES-t | 6b1bc23      | 1         | n      
PMOVES-Archon/pmoves_multi_agent_pro_pack/docling  | 7f38658      | 0         | n      
PMOVES-BoTZ                                        | e50d8b6      | 10        | n      
PMOVES-BoTZ/PMOVES-awesome-agent-skills            | uninit       | 10        | n      
PMOVES-BoTZ/features/cipher/pmoves_cipher          | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/anthropics-skill | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/awesome-claude-s | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/aws-skills       | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/d3js-skill       | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/epub-skill       | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/huggingface-skil | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/obsidian-plugin- | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/playwright-skill | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/skillcreator-ski | uninit       | 10        | n      
PMOVES-BoTZ/features/skills/repos/skills-marketpla | uninit       | 10        | n      
PMOVES-BoTZ/tools/claude-code-damage-control       | uninit       | 10        | n      
PMOVES-BotZ-gateway                                | 8336b2f      | 1         | n      
PMOVES-ClawZ                                       | dab3a70      | 27980     | n      
PMOVES-Creator                                     | e2294c6      | 0         | n      
PMOVES-Danger-infra                                | 62f4c27      | 85        | n      
PMOVES-Deep-Serch                                  | e2af6b6      | 0         | n      
PMOVES-DoX                                         | 776e9fb      | 4         | n      
PMOVES-DoX/A2UI_reference                          | uninit       | 4         | n      
PMOVES-DoX/PsyFeR_reference                        | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-Agent-Zero              | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-BoTZ                    | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-BotZ-gateway            | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-bentopdf                | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-docling                 | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-google_workspace_mcp    | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-n8n                     | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-n8n-mcp                 | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-postman-mcp-server      | uninit       | 4         | n      
PMOVES-DoX/external/PMOVES-supabase                | uninit       | 4         | n      
PMOVES-DoX/external/Pmoves-Glancer                 | uninit       | 4         | n      
PMOVES-DoX/external/Pmoves-hyperdimensions         | uninit       | 4         | n      
PMOVES-DoX/external/conductor                      | uninit       | 4         | n      
PMOVES-E2B-Danger-Room                             | d2d0fcc      | 19        | n      
PMOVES-E2B-Danger-Room-Desktop                     | 16b9e26      | 1         | n      
PMOVES-E2B-Danger-Room-Desktop/PMOVES-E2B-Danger-R | uninit       | 1         | n      
PMOVES-E2b-Spells                                  | 049731c      | 4         | n      
PMOVES-Headscale                                   | a3ef4d7      | 270       | n      
PMOVES-HiRAG                                       | e904b12      | 0         | n      
PMOVES-Jellyfin                                    | ecdfad9      | 0         | y      
PMOVES-MAI-UI                                      | 182bcf4      | 0         | n      
PMOVES-Neo4j                                       | e5c1936      | ?         | n      
PMOVES-Open-Notebook                               | 0533c8a      | 1         | n      
PMOVES-Pinokio-Ultimate-TTS-Studio                 | efdfd93      | 1         | n      
PMOVES-Pipecat                                     | a74aa0c      | 0         | n      
PMOVES-Remote-View                                 | 0e350c1      | 0         | n      
PMOVES-Tailscale                                   | 74facf6      | 0         | n      
PMOVES-ToKenism-Multi                              | be88774      | 0         | n      
